 [2021-10-27 01:30:15,978] INFO : created report: dome-cicmts-202110.xlsx
 [2021-10-27 01:30:16,039] INFO : End of DRP CICMTS run
 [2021-11-29 15:54:44,845] INFO : DRP module CICMTS, version 0.2.3
 [2021-11-29 15:54:44,847] INFO : Using database file /Users/carlj/Developer/Dome/DomeReports-2021-new/dome-reports/db/drp-prod.db
 [2021-11-29 15:54:44,852] INFO : starting data ingest
 [2021-11-29 15:54:44,853] INFO : ingest file dir: /Users/carlj/Developer/Dome/DomeReports-2021-new/dome-reports/r_cicmts/data_in
 [2021-11-29 15:54:44,854] INFO : ingesting file: comm-2111.csv
 [2021-11-29 15:54:44,858] INFO : Count of added rows to Community: 0
 [2021-11-29 15:54:44,860] INFO : Processed comm-2111.csv with 0 new rows added
 [2021-11-29 15:54:44,860] INFO : moved comm-2111.csv to completed directory
 [2021-11-29 15:54:44,860] INFO : ingesting file: coll-2111.csv
 [2021-11-29 15:54:44,868] INFO : Count of added rows to Collection: 0
 [2021-11-29 15:54:44,869] INFO : Processed coll-2111.csv with 0 new rows added
 [2021-11-29 15:54:44,869] INFO : moved coll-2111.csv to completed directory
 [2021-11-29 15:54:44,869] INFO : ingesting file: itct-2111.csv
 [2021-11-29 15:54:44,881] INFO : moved itct-2111.csv to completed directory
 [2021-11-29 15:54:44,882] INFO : Ingest complete
 [2021-11-29 15:54:44,882] INFO : Starting report generation
 [2021-11-29 15:54:44,916] INFO : created: dome-cicmts-202111.txt
 [2021-11-29 15:54:44,935] INFO : created: dome-cicmts-202111.html
 [2021-11-29 15:54:44,986] INFO : created report: dome-cicmts-202111.xlsx
 [2021-11-29 15:54:45,046] INFO : End of DRP CICMTS run
 [2022-01-03 16:27:26,766] INFO : DRP module CICMTS, version 0.2.3
 [2022-01-03 16:27:26,766] INFO : Using database file /Users/carlj/Developer/Dome/DomeReports-2021-new/dome-reports/db/drp-prod.db
 [2022-01-03 16:27:26,767] INFO : starting data ingest
 [2022-01-03 16:27:26,767] INFO : ingest file dir: /Users/carlj/Developer/Dome/DomeReports-2021-new/dome-reports/r_cicmts/data_in
 [2022-01-03 16:27:26,768] INFO : ingesting file: comm-2112.csv
 [2022-01-03 16:27:26,770] INFO : Count of added rows to Community: 0
 [2022-01-03 16:27:26,772] INFO : Processed comm-2112.csv with 0 new rows added
 [2022-01-03 16:27:26,772] INFO : moved comm-2112.csv to completed directory
 [2022-01-03 16:27:26,772] INFO : ingesting file: coll-2112.csv
 [2022-01-03 16:27:26,780] INFO : Count of added rows to Collection: 2
 [2022-01-03 16:27:26,781] INFO : Processed coll-2112.csv with 2 new rows added
 [2022-01-03 16:27:26,781] INFO : moved coll-2112.csv to completed directory
 [2022-01-03 16:27:26,781] INFO : ingesting file: itct-2112.csv
 [2022-01-03 16:27:26,790] INFO : moved itct-2112.csv to completed directory
 [2022-01-03 16:27:26,790] INFO : Ingest complete
 [2022-01-03 16:27:26,790] INFO : Starting report generation
 [2022-01-03 16:27:26,791] ERROR : Error validating data ingest files: No data in for year 2022 
 [2022-01-03 20:44:52,518] INFO : DRP module CICMTS, version 0.2.3
 [2022-01-03 20:45:01,661] INFO : DRP module CICMTS, version 0.2.3
 [2022-01-03 20:45:01,664] INFO : Using database file /Users/carlj/Developer/Dome/DomeReports-2021-new/dome-reports/db/drp-prod.db
 [2022-01-03 20:45:01,665] INFO : starting data ingest
 [2022-01-03 20:45:01,665] INFO : ingest file dir: /Users/carlj/Developer/Dome/DomeReports-2021-new/dome-reports/r_cicmts/data_in
 [2022-01-03 20:45:01,666] ERROR : Error validating data ingest files: No files to process in data_in 
 [2022-01-03 21:14:06,585] INFO : DRP module CICMTS, version 0.2.3
 [2022-01-03 21:14:06,587] INFO : Using database file /Users/carlj/Developer/Dome/DomeReports-2021-new/dome-reports/db/drp-prod.db
 [2022-01-03 21:14:06,588] INFO : starting data ingest
 [2022-01-03 21:14:06,588] INFO : ingest file dir: /Users/carlj/Developer/Dome/DomeReports-2021-new/dome-reports/r_cicmts/data_in
 [2022-01-03 21:14:06,589] INFO : ingesting file: comm-2112.csv
 [2022-01-03 21:14:06,592] INFO : Count of added rows to Community: 0
 [2022-01-03 21:14:06,594] INFO : Processed comm-2112.csv with 0 new rows added
 [2022-01-03 21:14:06,594] INFO : moved comm-2112.csv to completed directory
 [2022-01-03 21:14:06,594] INFO : ingesting file: coll-2112.csv
 [2022-01-03 21:14:06,597] INFO : Count of added rows to Collection: 2
 [2022-01-03 21:14:06,598] INFO : Processed coll-2112.csv with 2 new rows added
 [2022-01-03 21:14:06,598] INFO : moved coll-2112.csv to completed directory
 [2022-01-03 21:14:06,598] INFO : ingesting file: itct-2112.csv
 [2022-01-03 21:14:06,611] INFO : moved itct-2112.csv to completed directory
 [2022-01-03 21:14:06,611] INFO : Ingest complete
 [2022-01-03 21:14:06,611] INFO : Starting report generation
 [2022-01-03 21:14:06,649] INFO : created: dome-cicmts-2021.txt
 [2022-01-03 21:14:06,669] INFO : created: dome-cicmts-2021.html
 [2022-01-03 21:14:06,731] INFO : created report: dome-cicmts-2021.xlsx
 [2022-01-03 21:14:06,814] INFO : End of DRP CICMTS run
 [2022-01-04 02:18:25,321] INFO : DRP module CICMTS, version 0.2.3
 [2022-01-29 17:13:51,909] INFO : DRP module CICMTS, version 0.2.3
 [2022-01-29 17:13:51,910] INFO : Using database file /Users/carlj/Developer/Dome/DomeReports-2021-new/dome-reports/db/drp-prod.db
 [2022-01-29 17:13:51,917] INFO : starting data ingest
 [2022-01-29 17:13:51,917] INFO : ingest file dir: /Users/carlj/Developer/Dome/DomeReports-2021-new/dome-reports/r_cicmts/data_in
 [2022-01-29 17:13:51,919] INFO : ingesting file: comm-2201.csv
 [2022-01-29 17:13:51,920] INFO : Count of added rows to Community: 0
 [2022-01-29 17:13:51,922] INFO : Processed comm-2201.csv with 0 new rows added
 [2022-01-29 17:13:51,922] INFO : moved comm-2201.csv to completed directory
 [2022-01-29 17:13:51,922] INFO : ingesting file: coll-2201.csv
 [2022-01-29 17:13:51,926] INFO : Count of added rows to Collection: 2
 [2022-01-29 17:13:51,927] INFO : Processed coll-2201.csv with 2 new rows added
 [2022-01-29 17:13:51,927] INFO : moved coll-2201.csv to completed directory
 [2022-01-29 17:13:51,927] INFO : ingesting file: itct-2201.csv
 [2022-01-29 17:13:51,936] INFO : moved itct-2201.csv to completed directory
 [2022-01-29 17:13:51,936] INFO : Ingest complete
 [2022-01-29 17:13:51,936] INFO : Starting report generation
 [2022-01-29 17:13:51,963] INFO : created: dome-cicmts-202201.txt
 [2022-01-29 17:13:51,975] INFO : created: dome-cicmts-202201.html
 [2022-01-29 17:13:52,015] INFO : created report: dome-cicmts-202201.xlsx
 [2022-01-29 17:13:52,058] INFO : End of DRP CICMTS run
 [2022-02-27 19:10:18,317] INFO : DRP module CICMTS, version 0.2.3
 [2022-02-27 19:10:18,320] INFO : Using database file /Users/carlj/Developer/Dome/DomeReports-2021-new/dome-reports/db/drp-prod.db
 [2022-02-27 19:10:18,327] INFO : starting data ingest
 [2022-02-27 19:10:18,327] INFO : ingest file dir: /Users/carlj/Developer/Dome/DomeReports-2021-new/dome-reports/r_cicmts/data_in
 [2022-02-27 19:10:18,328] INFO : ingesting file: comm-2202.csv
 [2022-02-27 19:10:18,337] INFO : Count of added rows to Community: 0
 [2022-02-27 19:10:18,338] INFO : Processed comm-2202.csv with 0 new rows added
 [2022-02-27 19:10:18,339] INFO : moved comm-2202.csv to completed directory
 [2022-02-27 19:10:18,339] INFO : ingesting file: coll-2202.csv
 [2022-02-27 19:10:18,350] INFO : Count of added rows to Collection: 4
 [2022-02-27 19:10:18,351] INFO : Processed coll-2202.csv with 4 new rows added
 [2022-02-27 19:10:18,351] INFO : moved coll-2202.csv to completed directory
 [2022-02-27 19:10:18,351] INFO : ingesting file: itct-2202.csv
 [2022-02-27 19:10:18,363] INFO : moved itct-2202.csv to completed directory
 [2022-02-27 19:10:18,363] INFO : Ingest complete
 [2022-02-27 19:10:18,363] INFO : Starting report generation
 [2022-02-27 19:10:18,393] INFO : created: dome-cicmts-202202.txt
 [2022-02-27 19:10:18,409] INFO : created: dome-cicmts-202202.html
 [2022-02-27 19:10:18,459] INFO : created report: dome-cicmts-202202.xlsx
